dataset,classifier,metric,experimento,experimento_num,valor,author
Car Evaluation,knn,f1_score,v1,1,0.9281767955801106,vitor-oliveira
Car Evaluation,knn,f1_score,v2,2,0.9281767955801106,vitor-oliveira
Car Evaluation,knn,f1_score,v3,3,0.9281767955801106,vitor-oliveira
Car Evaluation,knn,f1_score,v4,4,0.9281767955801106,vitor-oliveira
Car Evaluation,knn,f1_score,v5,5,0.9281767955801106,vitor-oliveira
Car Evaluation,knn,f1_score,v6,6,0.8366013071895425,vitor-oliveira
Car Evaluation,knn,f1_score,v7,7,0.8366013071895425,vitor-oliveira
Car Evaluation,knn,f1_score,v8,8,0.8366013071895425,vitor-oliveira
Car Evaluation,knn,f1_score,v9,9,0.8366013071895425,vitor-oliveira
Car Evaluation,knn,f1_score,v10,10,0.8366013071895425,vitor-oliveira
Car Evaluation,knn,f1_score,v11,11,0.9183673469387756,vitor-oliveira
Car Evaluation,knn,f1_score,v12,12,0.9183673469387756,vitor-oliveira
Car Evaluation,knn,f1_score,v13,13,0.9183673469387756,vitor-oliveira
Car Evaluation,knn,f1_score,v14,14,0.9183673469387756,vitor-oliveira
Car Evaluation,knn,f1_score,v15,15,0.9183673469387756,vitor-oliveira
Car Evaluation,knn,f1_score,v16,16,0.858974358974359,vitor-oliveira
Car Evaluation,knn,f1_score,v17,17,0.858974358974359,vitor-oliveira
Car Evaluation,knn,f1_score,v18,18,0.858974358974359,vitor-oliveira
Car Evaluation,knn,f1_score,v19,19,0.858974358974359,vitor-oliveira
Car Evaluation,knn,f1_score,v20,20,0.858974358974359,vitor-oliveira
Car Evaluation,naive_bayes,accuracy,v1,1,0.7398843930635838,vitor-oliveira
Car Evaluation,naive_bayes,accuracy,v2,2,0.7398843930635838,vitor-oliveira
Car Evaluation,naive_bayes,accuracy,v3,3,0.7398843930635838,vitor-oliveira
Car Evaluation,naive_bayes,accuracy,v4,4,0.7398843930635838,vitor-oliveira
Car Evaluation,naive_bayes,accuracy,v5,5,0.7398843930635838,vitor-oliveira
Car Evaluation,naive_bayes,accuracy,v6,6,0.7601156069364162,vitor-oliveira
Car Evaluation,naive_bayes,accuracy,v7,7,0.7601156069364162,vitor-oliveira
Car Evaluation,naive_bayes,accuracy,v8,8,0.7601156069364162,vitor-oliveira
Car Evaluation,naive_bayes,accuracy,v9,9,0.7601156069364162,vitor-oliveira
Car Evaluation,naive_bayes,accuracy,v10,10,0.7601156069364162,vitor-oliveira
Car Evaluation,naive_bayes,accuracy,v11,11,0.7716763005780347,vitor-oliveira
Car Evaluation,naive_bayes,accuracy,v12,12,0.7716763005780347,vitor-oliveira
Car Evaluation,naive_bayes,accuracy,v13,13,0.7716763005780347,vitor-oliveira
Car Evaluation,naive_bayes,accuracy,v14,14,0.7716763005780347,vitor-oliveira
Car Evaluation,naive_bayes,accuracy,v15,15,0.7716763005780347,vitor-oliveira
Car Evaluation,naive_bayes,accuracy,v16,16,0.8179190751445087,vitor-oliveira
Car Evaluation,naive_bayes,accuracy,v17,17,0.8179190751445087,vitor-oliveira
Car Evaluation,naive_bayes,accuracy,v18,18,0.8179190751445087,vitor-oliveira
Car Evaluation,naive_bayes,accuracy,v19,19,0.8179190751445087,vitor-oliveira
Car Evaluation,naive_bayes,accuracy,v20,20,0.8179190751445087,vitor-oliveira
Car Evaluation,naive_bayes,f1_score,v1,1,0.5454545454545454,vitor-oliveira
Car Evaluation,naive_bayes,f1_score,v2,2,0.5454545454545454,vitor-oliveira
Car Evaluation,naive_bayes,f1_score,v3,3,0.5454545454545454,vitor-oliveira
Car Evaluation,naive_bayes,f1_score,v4,4,0.5454545454545454,vitor-oliveira
Car Evaluation,naive_bayes,f1_score,v5,5,0.5454545454545454,vitor-oliveira
Car Evaluation,naive_bayes,f1_score,v6,6,0.6744186046511628,vitor-oliveira
